2019-09-24 17:53:00,606 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:53:05,616 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:53:10,627 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:53:15,637 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:53:20,646 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:53:25,656 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:53:30,669 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:53:35,679 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:53:40,688 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:53:45,698 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:53:50,706 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:53:55,714 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:54:00,727 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:54:05,736 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:54:10,743 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:54:15,748 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:54:20,756 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:54:25,766 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:54:30,775 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:54:35,784 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:54:40,793 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:54:45,803 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:54:50,812 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:54:55,820 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:55:00,828 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:55:05,836 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:55:10,846 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:55:15,854 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:55:20,863 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:55:25,871 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:55:30,880 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:55:35,888 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:55:40,899 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:55:45,904 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:55:50,912 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
