2019-09-30 17:23:06,310 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:23:11,319 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:23:16,328 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:23:21,336 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:23:26,345 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:23:31,353 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:23:36,362 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:23:41,370 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:23:46,379 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:23:51,384 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:23:56,393 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:24:01,400 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:24:06,408 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:24:11,416 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:24:16,425 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
