2019-10-01 17:26:08,135 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:26:28,159 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:26:48,183 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:27:08,210 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:27:28,235 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:27:48,260 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:28:08,286 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:28:28,311 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:28:48,337 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:29:08,367 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:29:28,393 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
